id_match_api,dt_match,p_dt_match,id_match_status,id_match_competition,cd_season,cd_round,t1_all_total5_fl_match_win,t1_all_total5_fl_match_draw,t1_all_total5_fl_match_lost,t1_all_total10_fl_match_win,t1_all_total10_fl_match_draw,t1_all_total10_fl_match_lost,t2_all_total5_fl_match_win,t2_all_total5_fl_match_draw,t2_all_total5_fl_match_lost,t2_all_total10_fl_match_win,t2_all_total10_fl_match_draw,t2_all_total10_fl_match_lost,t1_home_total5_fl_match_win,t1_home_total5_fl_match_draw,t1_home_total5_fl_match_lost,t1_home_total10_fl_match_win,t1_home_total10_fl_match_draw,t1_home_total10_fl_match_lost,t2_away_total5_fl_match_win,t2_away_total5_fl_match_draw,t2_away_total5_fl_match_lost,t2_away_total10_fl_match_win,t2_away_total10_fl_match_draw,t2_away_total10_fl_match_lost,t1_h2h_total5_fl_match_win,t1_h2h_total5_fl_match_draw,t1_h2h_total5_fl_match_lost,t1_h2h_total10_fl_match_win,t1_h2h_total10_fl_match_draw,t1_h2h_total10_fl_match_lost,t2_h2h_total5_fl_match_win,t2_h2h_total5_fl_match_draw,t2_h2h_total5_fl_match_lost,t2_h2h_total10_fl_match_win,t2_h2h_total10_fl_match_draw,t2_h2h_total10_fl_match_lost,t1_h2h_home_total5_fl_match_win,t1_h2h_home_total5_fl_match_draw,t1_h2h_home_total5_fl_match_lost,t1_h2h_home_total10_fl_match_win,t1_h2h_home_total10_fl_match_draw,t1_h2h_home_total10_fl_match_lost,t2_h2h_away_total5_fl_match_win,t2_h2h_away_total5_fl_match_draw,t2_h2h_away_total5_fl_match_lost,t2_h2h_away_total10_fl_match_win,t2_h2h_away_total10_fl_match_draw,t2_h2h_away_total10_fl_match_lost,t1_fl_match_win
4587301,2022-05-30 17:00:00,2022-05-30,1,98,no_1st_division_2022,9,1,2,2,1,3,3,2,1,2,2,2,3,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,3,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5066396,2022-05-29 23:00:00,2022-05-29,1,881,"bo_division_profesional,_apertura_2022",3,2,1,2,4,3,3,1,3,1,4,4,2,4,0,1,5,1,2,1,2,2,4,2,2,1,0,4,2,0,6,4,0,1,6,0,2,2,0,2,2,0,2,2,0,2,2,0,2,0
4725296,2022-05-29 22:00:00,2022-05-29,1,540,ec_ligapro_primera_a_2022,15,4,0,1,7,0,3,3,0,2,5,3,2,4,0,1,4,2,1,3,1,1,3,2,2,1,2,2,4,3,3,2,2,1,3,3,4,2,2,1,2,2,1,1,2,2,1,2,2,1
4609637,2022-05-29 21:30:00,2022-05-29,1,214,pe_primera_division_2022,16,5,0,0,9,0,1,2,3,0,4,4,2,5,0,0,6,0,0,2,1,2,3,1,3,1,1,3,3,3,4,3,1,1,4,3,3,3,0,2,5,2,2,2,0,3,2,2,5,1
4644522,2022-05-29 20:00:00,2022-05-29,1,155,br_brasileiro_serie_a_2022,8,2,1,2,3,2,2,3,2,0,3,3,1,3,1,0,3,1,0,1,2,0,1,2,0,1,1,3,3,2,5,3,1,1,5,2,3,2,2,1,5,2,1,1,2,2,1,2,5,0
4232718,2022-05-29 19:00:00,2022-05-29,1,221,es_laliga_2_21-22,42,1,2,2,2,5,3,4,1,0,8,2,0,2,0,3,3,1,6,3,2,0,5,3,2,2,0,3,3,2,5,3,0,2,5,2,3,3,1,1,3,1,1,1,1,3,1,1,3,0
4232721,2022-05-29 19:00:00,2022-05-29,1,221,es_laliga_2_21-22,42,4,0,1,6,2,2,1,2,2,4,4,2,2,1,2,6,2,2,2,1,2,3,2,5,1,0,4,1,1,5,4,0,1,5,1,1,1,0,2,1,0,2,2,0,1,2,0,1,0
5063157,2022-05-29 17:30:00,2022-05-29,1,221,es_laliga_2_21-22,-1,4,0,1,6,2,2,1,2,2,4,4,2,2,1,2,6,2,2,2,1,2,3,2,5,1,0,4,1,1,5,4,0,1,5,1,1,1,0,2,1,0,2,2,0,1,2,0,1,1
5063166,2022-05-29 17:30:00,2022-05-29,1,221,es_laliga_2_21-22,-1,1,2,2,2,5,3,4,1,0,8,2,0,2,0,3,3,1,6,3,2,0,5,3,2,2,0,3,3,2,5,3,0,2,5,2,3,3,1,1,3,1,1,1,1,3,1,1,3,0
4835249,2022-05-29 17:15:00,2022-05-29,1,1092,sa_saudi_prof._league_21-22,28,3,0,2,5,1,4,1,2,2,4,2,4,3,1,1,5,3,2,1,3,1,2,4,4,1,2,1,1,2,1,1,2,1,1,2,1,1,0,1,1,0,1,1,0,1,1,0,1,0
4567495,2022-05-29 17:00:00,2022-05-29,1,126,no_eliteserien_2022,9,3,1,1,5,1,2,1,3,1,3,4,1,3,0,2,3,0,2,2,0,1,2,0,1,3,0,2,6,0,4,2,0,3,4,0,6,3,0,2,3,0,3,2,0,3,3,0,3,1
4568089,2022-05-29 17:00:00,2022-05-29,1,126,no_eliteserien_2022,9,2,0,3,2,0,6,2,1,2,4,2,3,1,0,3,1,0,3,2,1,2,2,1,2,3,1,1,5,1,2,1,1,3,2,1,5,3,0,1,3,0,1,1,0,3,1,0,3,0
5041107,2022-05-29 16:30:00,2022-05-29,1,880,gb_championship_21-22,1,4,1,0,7,2,1,2,1,2,6,1,3,4,1,0,7,2,1,3,1,1,5,3,2,3,0,2,6,1,3,2,0,3,3,1,6,3,1,1,3,1,1,1,1,3,1,1,3,0
5041698,2022-05-29 16:00:00,2022-05-29,1,825,tn_ligue_1_21-22,6,1,1,3,4,3,3,2,1,2,3,3,4,4,0,1,5,2,1,1,2,2,2,2,5,1,1,3,1,2,3,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4568262,2022-05-29 14:00:00,2022-05-29,1,100,se_allsvenskan_2022,10,2,2,1,4,3,3,1,2,2,3,2,4,4,1,0,4,1,0,1,1,2,1,1,2,3,0,1,3,0,1,1,0,3,1,0,3,1,0,1,1,0,1,1,0,1,1,0,1,1
4568265,2022-05-29 14:00:00,2022-05-29,1,100,se_allsvenskan_2022,10,4,0,1,4,1,4,3,1,1,4,2,3,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,4,3,3,2,1,2,3,3,4,3,1,1,3,2,2,1,1,3,2,2,3,0
4819834,2022-05-29 12:30:00,2022-05-29,1,75,dk_1st_division_21-22,32,1,1,3,3,1,6,1,0,4,3,0,7,2,0,3,6,1,3,1,0,4,2,0,8,1,1,3,2,3,4,3,1,1,4,3,2,2,0,1,2,0,1,1,0,2,1,0,2,0
4604090,2022-05-29 10:30:00,2022-05-29,1,410,jp_j.league_2_2022,19,2,2,1,2,4,4,2,1,2,3,3,4,1,3,1,1,4,5,1,2,2,2,4,2,1,1,2,1,1,2,2,1,1,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0
4589546,2022-05-29 08:30:00,2022-05-29,1,8910,kr_k-league_1_2022,15,1,2,2,4,4,2,1,1,3,2,1,7,1,3,1,2,4,2,2,0,3,2,0,4,3,1,1,4,3,3,1,1,3,3,3,4,1,1,3,1,3,6,3,1,1,6,3,1,1
4603783,2022-05-29 08:00:00,2022-05-29,1,895,jp_j.league_2022,16,2,0,3,2,3,5,3,1,1,5,3,2,2,2,1,2,3,2,2,1,2,2,2,3,2,0,3,2,1,5,3,0,2,5,1,2,1,0,3,1,0,3,3,0,1,3,0,1,0
4604395,2022-05-29 07:00:00,2022-05-29,1,410,jp_j.league_2_2022,19,1,1,3,2,4,4,3,1,1,3,4,3,2,1,2,3,2,4,1,1,3,2,2,4,3,1,1,4,3,3,1,1,3,3,3,4,2,2,1,3,2,2,1,2,2,2,2,3,1
4604390,2022-05-29 06:00:00,2022-05-29,1,410,jp_j.league_2_2022,19,2,1,2,5,2,3,3,0,2,5,3,2,2,1,2,3,2,3,2,2,1,3,3,2,3,0,2,4,1,5,2,0,3,5,1,4,2,0,3,2,1,3,3,0,2,3,1,2,0
4603779,2022-05-29 05:05:00,2022-05-29,1,895,jp_j.league_2022,16,1,0,4,1,2,7,3,1,1,4,4,2,1,0,4,1,1,4,2,1,2,2,4,2,4,0,1,7,0,3,1,0,4,3,0,7,4,0,1,4,0,1,1,0,4,1,0,4,1
4463764,2022-05-29 00:30:00,2022-05-29,1,242,us_major_league_soccer_2022,-1,3,1,1,6,2,2,4,0,1,5,1,4,3,0,1,3,0,1,3,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,0,1,1,0,1,1,0,1,1,0,1,1
4463901,2022-05-29 00:30:00,2022-05-29,1,242,us_major_league_soccer_2022,-1,3,0,2,5,1,4,3,1,1,6,3,1,2,0,3,3,0,3,1,3,1,1,3,2,1,2,2,1,2,3,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4835256,2022-05-28 19:00:00,2022-05-28,1,1092,sa_saudi_prof._league_21-22,28,3,1,1,7,1,2,1,1,3,3,4,3,4,0,1,7,1,2,1,2,2,2,3,5,2,2,1,5,3,2,1,2,2,2,3,5,2,1,2,2,2,3,2,1,2,3,2,2,0
4835253,2022-05-28 17:20:00,2022-05-28,1,1092,sa_saudi_prof._league_21-22,28,2,2,1,3,4,3,2,1,2,3,2,5,3,2,0,4,5,1,1,2,2,3,2,5,1,0,4,4,2,4,4,0,1,4,2,4,2,1,2,2,1,2,2,1,2,2,1,2,0
4568261,2022-05-28 16:00:00,2022-05-28,1,100,se_allsvenskan_2022,10,4,1,0,6,1,1,2,1,2,4,2,3,3,0,1,3,0,1,1,2,2,1,2,2,1,2,2,3,5,2,2,2,1,2,5,3,2,2,1,2,2,1,1,2,2,1,2,2,1
