Distrito;NACE1;NACE2;Numero_Empregados;Num_anos_disponiveis_base;Variacao_das_vendas;Variacao_resultado_operacional;Variacao_do_activo;Variacao_dos_capitais_proprios;Variacao_do_ativo_circulante;Variacao_das_existencias;Variacao_do_imobilizado;Fundo_de_maneio;REPV;Prazo_medio_de_recebimento;Liquidez_geral;Liquidez_reduzida;Solvabilidade;Autonomia_financeira;Endividamento;Estrutura_financeira;Passivo_de_curto_prazo_a_dividir_passivo_total;Custos_dos_encargos_financeiros_dividir_resultado_operacional;Rendibilidade_operacional_vendas;Rendibilidade_liquida_das_vendas;Rendibilidade_do_ativo;Rendibilidade_capitais_proprios;Passivo_curto_prazo_dividir_vendas;Peso_das_amortizacoes_dividir_vendas;Peso_encargos_financeiros_dividir_vendas;Produtividade_por_trabalhador;Certificacao_legal_contas;Insolvencia
1;14;141;225;9;-0.055115655;-12.18344284;-0.081616494;-0.353879041;-0.464740547;-0.424967741;0.466459003;-753912;11.46809305;53.1724299;0.487300013;0.343347791;0.420554189;0.29604924;0.703950282;2.377814862;1;-9.693645528;-0.123984621;-0.139525438;-0.162145523;-0.353879041;0.904606427;0.040788155;0.012790299;0.905353941;1;0
1;13;139;28;10;-0.163781044;-7.685481008;-0.120589583;0.002009229;-0.121441848;-0.231066322;-0.104213681;1557403;10.57665292;132.8289536;2.813255109;2.393233663;1.962532265;0.662450934;0.337549066;0.509545763;1;-0.807624684;-0.004935802;0.000885839;0.001328347;0.002009229;0.103359086;0.025632202;0.006111504;1.330415644;1;0
5;14;141;80;9;-0.193743196;-1.486740076;-0.118888347;0.055864361;-0.123646343;0.113842558;-0.074894492;1675145;8.152963626;31.24658523;1.973252683;0.87135759;1.198544953;0.545153573;0.454846163;0.834345009;1;-17.25630282;-0.015714433;0.007058774;0.028843605;0.055864872;0.10013587;0.007319208;0.000910649;1.205843469;1;0
5;14;141;175;8;-0.156786571;-1.366234018;-0.122806701;-0.109388014;-0.127069249;0.079843417;-0.10613968;1529773;4.928095827;46.36005945;3.169816914;1.904464245;2.999926244;0.74999539;0.25000461;0.333341529;1;-1.731467043;-0.021468601;-0.059088467;-0.092117357;-0.109388435;0.422792283;0.016605048;0.012399082;0.929478527;1;0
1;13;139;140;10;-0.059913255;-0.742674271;-0.019611869;0.002116005;-0.041525475;-0.093254188;0.05783123;9857170;7.650845824;127.4404247;6.690792702;5.97663103;7.780287346;0.886108453;0.113891482;0.128529957;1;4.747869533;0.046387906;0.054398909;0.03385224;0.038284108;0.223548044;0.094520909;0.009770257;1.774668657;1;0
5;14;141;229;10;0.020864192;-0.614643688;0.132667083;0.494631048;0.188161698;0.088134919;-0.016073629;58434;1.608042814;116.5806116;1.013333866;0.360715366;0.326415927;0.246088667;0.753911333;3.063575996;1;0.227119489;0.007924927;0.001323539;0.001047162;0.00635999;0.412719587;0.024508413;0.034893205;1.14864568;1;0
1;13;139;65;10;-0.085960123;-0.60063278;-0.001992579;0.014840031;0.013301799;0.001616991;-0.085761108;3996879;5.184850402;170.835068;3.944610617;2.982618388;3.594405734;0.78234412;0.21765604;0.278210106;1;4.176049463;0.005686546;0.016446213;0.017854365;0.0231603;0.119830888;0.033695209;0.001361705;1.488919951;1;0
1;13;139;34;10;-0.078627227;-0.590620785;-0.079501363;0.024650316;-0.057614608;0.07486241;-0.298137686;420195;15.49000715;118.8716996;1.157320724;0.983512577;0.243604792;0.195886019;0.804113981;4.105009567;1;3.485928608;0.009370519;0.009135919;0.01977842;0.103457942;0.065346101;0.020293544;0.002688098;1.544629613;1;0
5;14;141;86;10;-0.162168944;-0.520538998;-0.0045415;0.068854031;-0.017202442;-0.235599228;0.156904604;2082650;8.152640789;57.42089522;2.648354692;2.096993839;1.892837356;0.654318623;0.345681377;0.528307409;1;2.468626;0.032315227;0.028887203;0.044886497;0.073323778;0.146220018;0.022723311;0.01309037;1.524178234;1;0
1;14;141;70;9;-0.075617524;-0.508505388;-0.088133731;0.002346505;-0.100527603;-0.114144022;-0.03823756;542115;9.160035162;235.4503505;1.262341975;1.084530236;0.597614066;0.374066716;0.625933587;1.673320723;1;0.674895371;0.018877247;0.000858651;0.000875392;0.002345694;0.246431622;0.034797348;0.027970628;1.265929691;1;0
